Date,FNSKU,ASIN,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time,msku
02/01/2025,X0024A2EYH,B0DFTHX7GZ,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 45 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024A2EYH,B0DFTHX7GZ,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 45 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024A2EYH,B0DFTHX7GZ,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 45 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024A2EYH,B0DFTHX7GZ,"Fusked Premium Minecraft Diamond Foam Sword Small Toy for Kids Durable, Ideal for Cosplay, Role Playing, Halloween Costumes, and Room Decor 45 CM",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X0024A2EVZ,B0DB9W5XJS,"Fusked Fluffies Hello Kitty Plush Soft Toy for Newborn Baby - Cute Hello Kitty Stuff Toys for Kids (12 Month to 1.5 Year) - Safe, and Washable",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X00219AWV3,B0D4GZ522X,Fusked Flufies 20 cm Minecraft Steve Plush Toys for Collectors - Kids Room Decor and Halloween Decor for Video Game Fans- Washable for Girls and Boys for Birthday,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X00219AWUT,B0D4H7LW5C,Fusked Flufies 20 cm Minecraft Ghast Plush Toys for Collectors - Kids Room Decor and Halloween Decor for Video Game Fans- Washable for Girls and Boys for Birthday,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X00219AWUJ,B0D4HFXYVX,Fusked Flufies 26 cm Minecraft Creeper Plush Toys for Collectors - Kids Room Decor and Halloween Decor for Video Game Fans- Washable for Girls and Boys for Birthday,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001W7X2Y9,B0CLLR9X7S,"Fusked Dumbledore Light Wand Toy For Kids Gift With Musicbox Harrypotter Accesssories Cosplay Combo Magic Wand Stick With Musical Box Combo(Limited Edition 2024), Multicolor",Shipments,,-1,BLR8,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001W7X2XZ,B0CLLS6HZH,"Fusked Harry Potter Light Wand Toy For Kids Gift Harrypotter Accesssories Cosplay Magic Wands Stick(Limited Edition 2024),Multicolor",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001W7Q435,B0CLLSB7GN,Fusked Voldemort Light Wand Toy For Kids Gift Harrypotter Accesssories Cosplay Magic Wand Stick (Limited Edition 2024) - Multicolor,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001W7Q435,B0CLLSB7GN,Fusked Voldemort Light Wand Toy For Kids Gift Harrypotter Accesssories Cosplay Magic Wand Stick (Limited Edition 2024) - Multicolor,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
